LATITUDE,LONGITUDE
3.6850082,38.91255146
3.857342253,38.61185364
4.196741029,38.08672656
4.604962383,38.82804767
4.752903929,37.28832905
4.935606012,38.12805273
5.363449817,38.40332352
5.212523706,39.52163608
5.883802966,38.98365563
5.758164454,38.47420179
5.520147619,38.95212353
5.846169801,39.28713087
5.939426104,38.48584802
5.954697121,38.99813018
6.077480473,38.56615911
6.008480471,39.60335409
6.265436552,38.5151822
6.142891052,39.18914433
6.250728327,38.72412987
6.310125784,38.07410843
5.897269734,38.07750293
6.410746133,39.54183435
6.265699227,40.04776303
6.583177544,39.2095143
6.364961229,40.52967822
6.712625312,40.16450367
6.789426308,38.81216884
6.569313316,40.92440663
7.00705464,39.97615282
6.860269677,39.89803087
6.888191041,39.15234802
6.765068194,41.41394185
7.115039122,40.00283703
7.025035504,38.84054873
6.948137525,40.50786653
7.077477888,39.77107848
7.201017652,38.60140993
7.128589001,38.20023915
7.12917597,40.13001299
7.225748161,38.93028161
7.184168907,39.17251512
7.20446429,38.58977776
6.990076026,39.52970623
7.120880917,40.71564308
7.319950312,39.78440473
7.425161755,39.44743028
7.327061852,38.39478008
7.38311199,40.15337347
7.524008157,36.46175452
7.41580488,36.9389799
7.430230166,39.27158866
7.683245048,36.84282008
7.444758287,38.72377459
7.571692867,39.57746165
7.574197668,36.65923529
7.370330851,41.21282801
7.679229573,40.04309612
7.527461821,38.98354041
7.543552095,37.24057856
7.538137561,40.60809032
7.856095087,36.58459432
7.781764673,36.76021361
7.729953972,40.33901691
7.791736843,39.50460637
7.699630759,36.23019902
7.744818336,39.22985036
7.928688442,38.71135206
7.691776189,39.80099042
7.938220113,39.13429595
7.778314081,37.0326885
7.890933744,39.1272198
7.88177338,36.04061604
7.932240052,35.5494601
7.972080235,36.43069311
7.880185314,36.5860916
7.820020162,38.61116231
7.903144196,40.17697609
7.854085528,41.24252018
7.892984835,35.18170426
7.987277519,37.27221151
8.043604147,39.56289688
8.113268023,39.97301413
8.07231106,39.24263678
8.133079126,36.53952425
8.028483161,36.95664162
8.072500417,35.59647566
7.990297825,37.45809708
8.064896422,36.21502571
8.012055283,39.81036338
8.098680126,39.40655695
8.130874331,35.73298221
8.177655538,35.35601246
7.971360894,38.94882144
8.304211636,35.58347878
8.193293671,38.74608839
8.219931107,35.78983821
8.272923338,35.93958956
8.311459631,38.91530972
8.292503306,39.25541851
8.329480148,39.912901
8.452373956,36.34881471
8.431042903,35.53039754
8.298649654,39.50231287
8.354463895,35.41826927
8.322795862,35.13166091
8.307784361,36.65202594
8.417978943,37.84700954
8.450431045,35.83681155
8.533638625,34.80096133
8.542546359,37.97670516
8.3887158,36.14409633
8.364398224,36.48134713
8.541577899,39.26989882
8.359348024,39.65712414
8.481977249,38.6557727
8.431877635,38.30260679
8.339503611,37.23903915
8.279438088,40.19170737
8.473901815,36.38257872
8.504671656,38.88895258
8.522580572,37.43912176
8.531877599,40.06006079
8.230725404,40.63387587
8.578160083,38.52317438
8.597322984,36.13689135
8.529876692,39.83949276
8.549212465,38.04495111
8.476502022,39.26471767
8.595103608,35.78021482
8.458582393,34.82763859
8.660064113,38.24464629
8.627560237,34.99219167
8.562097713,37.69716369
8.621696084,38.39207741
8.749717322,38.98998206
8.596436475,34.52105541
8.397870344,41.02400792
8.671264162,37.88802331
8.619981513,35.37792945
8.650161423,39.53604021
8.63079906,39.15075123
8.48961154,36.95186724
8.714225232,36.71844099
8.73754565,35.99602673
8.789206196,37.65063603
8.732563792,37.48035864
8.754565568,40.511817
8.905808921,40.77532882
8.756109153,37.29001056
8.718861983,36.54707488
8.70698866,36.28873652
8.807907128,34.85870931
8.323223388,41.62852769
8.915250391,38.63446221
8.670275916,41.89694454
8.729927138,40.1870122
8.801449221,38.13557393
8.839759665,38.31830033
8.756907615,39.0086384
8.797820427,36.89215416
8.805555713,35.78517719
8.730365905,42.20128942
8.777693009,38.82015788
8.83957319,35.58162516
8.684229674,40.9867519
8.902713592,36.46498437
8.980093587,37.85366237
8.813180509,38.60409132
8.916695439,37.03858906
8.894384053,36.13325975
8.863476794,35.33127504
8.91914127,40.48293345
8.858435013,40.98446221
8.97436525,35.45767023
9.056702442,38.49690971
9.079803829,40.86706613
9.054556133,38.64128649
9.070290608,35.71319719
9.085511596,36.54884058
8.983449751,35.85045132
8.931630137,35.20106311
8.943069943,37.67954749
9.037972832,35.59567738
8.884416292,39.87708792
9.000951616,39.19352329
9.154703814,39.02048348
9.015851219,34.75815019
9.052324679,36.31543894
8.997498293,38.13334812
8.988132699,41.17837682
9.006539595,37.3682389
8.913439786,34.43651658
9.027137857,36.68442934
9.175023559,35.83288849
8.94449156,35.07609058
9.070212438,40.82238831
9.132326734,35.31235289
9.061556638,38.51963598
9.069051504,42.1260921
9.069090752,38.36267746
8.898187121,41.32754948
9.096638521,37.15432062
9.029920107,41.86601271
9.115608602,38.95048365
9.182124246,37.92437889
9.064793443,41.63892515
9.177994783,41.1226576
9.105756658,40.53734868
9.230530581,41.87238598
9.160537968,35.90800973
9.166193928,36.97637858
9.207554076,39.12189123
9.23443015,35.34629053
9.253018339,37.34093357
9.040229388,37.85522546
9.173659621,42.30462744
9.234664049,36.37641278
9.209503245,35.67357793
9.286311643,35.50590689
9.156272294,36.81078612
9.215872975,41.43697565
9.201594522,37.5690923
9.142993067,34.93369013
9.286804828,38.57418393
9.319372694,41.08222758
9.380755002,41.80638503
9.35104673,36.95958331
9.3302691,37.99175819
9.400792811,39.2384776
9.343915724,41.99438663
9.269307892,36.59147047
9.319740921,38.743546
