LATITUDE,LONGITUDE
3.6850082,38.91255146
3.857342253,38.61185364
4.396763085,42.1480282
4.196741029,38.08672656
4.25460101,41.4604991
4.070420421,39.82976744
4.521991466,39.59610306
4.682518423,36.10342511
4.604962383,38.82804767
4.710694532,42.84000173
4.752903929,37.28832905
4.935606012,38.12805273
5.349333841,36.0452897
5.419137336,36.12084121
4.957375659,36.50653646
5.207537645,45.03926344
5.361838919,37.3704866
5.231570741,44.66774151
5.244294401,35.98306084
5.363449817,38.40332352
5.50976948,37.75972319
5.019357723,40.74223119
5.429880728,36.74267996
5.212523706,39.52163608
5.610754157,37.26221012
5.283156955,42.56931509
5.626389074,36.35543712
5.883802966,38.98365563
5.758164454,38.47420179
5.842188235,37.54889533
5.520147619,38.95212353
5.220340046,41.72631447
5.795789129,37.78545434
5.417181539,44.22823034
5.76323391,36.88096196
5.951461096,38.29250555
5.846169801,39.28713087
5.662022192,40.26753945
5.962023724,37.65659293
6.039884033,37.56291672
5.939426104,38.48584802
6.02669621,38.19045191
5.511882576,43.47522217
5.943844439,36.55867709
5.954697121,38.99813018
5.977686448,37.45892491
5.915894739,37.26542236
6.062873273,36.87083683
6.077480473,38.56615911
6.194152183,36.81567659
6.260798299,37.66321679
6.175425204,36.64996696
6.162361248,38.21428037
6.005235763,37.13804025
6.294160579,36.89089905
6.281883062,38.25999075
5.988421388,40.90382757
6.226980836,38.36525017
6.008480471,39.60335409
6.265436552,38.5151822
5.884538779,35.2830352
6.142891052,39.18914433
6.281755002,36.55983003
6.283919589,37.45467741
6.289618785,37.29727637
6.141272298,44.43713477
6.354549047,38.34278098
6.265873926,37.56421745
6.250728327,38.72412987
6.414904238,38.29460853
5.935990868,35.69455827
5.974929954,41.28861389
5.963973661,42.13076504
5.958772057,36.16310909
6.105799366,43.64294169
6.310304658,38.99039822
6.344107102,35.23661893
6.29101906,37.0835322
6.207363631,37.74422769
6.358653081,36.80674125
6.458364618,38.39117608
6.490910518,41.4283517
6.310125784,38.07410843
6.327592472,37.72435748
6.495528359,38.56657447
5.897269734,38.07750293
6.497425478,39.02571271
5.982556145,45.27873017
6.503349574,38.71021912
6.52937451,37.6566665
6.464122332,37.01210452
6.562538093,38.30678729
6.532586102,38.84978484
6.607556603,38.44356577
6.525813403,37.3635969
6.526567099,36.68817519
6.410746133,39.54183435
6.617319998,38.59283596
6.265699227,40.04776303
6.489277427,35.70697461
6.583177544,39.2095143
6.682414676,38.6988029
6.73540951,38.5123238
6.67512935,37.84776795
6.380370221,42.11137015
6.650659373,38.17246336
6.719178116,37.54034895
6.836549246,39.84691725
6.759741844,38.39783961
6.772364813,37.35467517
